Area Name,Time Period,Main road accessibility,Local roads density,Motorcycles density,Vehicles density,Active companies rate,Municipality employment rate,Unemployed rate,Transport and storage investments rate,Doctors accessibility,Preschool children enrollment rate,Tourists Arrivals,GVA Per Capita Normalized
NoviBeograd,2013,0.352394574,16.75026395,48.63414634,2125.829268,40.5431864,0.761613767,59,1.127489371,1.8,4.479169088,118566,3.320311404
NoviBeograd,2014,0.352394574,16.75026395,48.26829268,2120.195122,43.25709246,0.786714258,49,6.03533277,1.7,4.38160867,150480,3.423044423
NoviBeograd,2015,0.352394574,16.75026395,50.46341463,2138.804878,45.86213818,0.9863455,52,3.447488435,1.7,4.547368127,169434,3.287925261
NoviBeograd,2016,0.352394574,16.75026395,50.12195122,2194.756098,48.01711094,0.952201078,56,3.142477537,1.6,4.584593508,191265,3.598234518
NoviBeograd,2017,0.352394574,16.75026395,52.56097561,2344.463415,50.66710283,1.008046517,49,10.02196883,1.6,4.743223355,212441,3.600087302
NoviBeograd,2018,0.352394574,16.75026395,50.56097561,2467.878049,58.57529171,1.046276709,42,6.879359227,1.6,4.726822753,232601,3.542773537
NoviBeograd,2019,0.352394574,16.75026395,54.31707317,2611.634146,52.53004131,1.098690806,38,9.424868569,1.5,4.715754929,252653,3.301218413
NoviBeograd,2020,0.352394574,16.75026395,55.75609756,2703.195122,53.82269062,1.137154046,36,5.411298091,1.5,4.637355304,62036,3.573250033
NoviBeograd,2021,0.352394574,16.75026395,60.70731707,2843.121951,56.84930528,1.231615152,33,8.986743895,1.5,4.644884623,101599,3.568110694
Obrenovac,2011,2.768702603,0.240602067,0.843902439,38.6902439,7.452490374,0.277914245,87,2.738003561,1.3,2.385897725,4390,0.142987802
Obrenovac,2012,2.768702603,0.240602067,1.16097561,40.32926829,7.669957726,0.285802926,95,0.038996984,1.2,2.379336237,3045,0.334627844
Obrenovac,2013,2.768655611,0.240602067,1.302439024,41.66829268,8.200104565,0.295349634,96,1.87979142,1.3,2.394007491,3304,0.451110151
Obrenovac,2014,2.768702603,0.240602067,1.243902439,42.32926829,8.562918838,0.279850898,98,2.582830038,1.2,2.339250936,746,0.443544829
Obrenovac,2015,2.768702603,0.240602067,1.334146341,42.84390244,9.042766478,0.274539308,93,6.444989837,1.3,2.558962088,0,1.089727103
Obrenovac,2016,2.768702603,0.240602067,1.319512195,44.34878049,9.647592946,0.305061104,90,1.943069512,1.2,2.529030335,0,1.090571046
Obrenovac,2017,2.768702603,0.240602067,1.351219512,46.75121951,9.860266726,0.320258548,74,0.162195848,1.1,2.795853151,2470,1.045836772
Obrenovac,2018,2.793436189,0.240602067,1.346341463,48.24146341,11.06427819,0.36117978,61,6.365689646,1.1,3.023790113,3131,0.289245612
Obrenovac,2019,2.793436189,0.240602067,1.37804878,50.99512195,9.474925435,0.401342686,51,2.77591732,1.1,3.115308004,3342,0.24081433
Obrenovac,2020,2.793436189,0.240602067,1.56097561,53.76097561,9.700776896,0.474353687,47,4.516378747,1.4,3.084176327,1408,0.257636836
Obrenovac,2021,2.55946317,0.240062705,1.72195122,56.05121951,10.32745592,0.501600877,44,3.137699412,1.3,3.168612867,2546,0.251074441
Palilula(Belgrade),2011,2.076131201,17.09642463,3.658536585,105.1618625,18.16587538,0.511567663,53,17.98363975,1.1,2.833978593,30777,1.496818563
Palilula(Belgrade),2012,2.076131201,16.75509431,4.935698448,107.0886918,18.90577403,0.477972053,57,2.789413224,1.1,2.898913817,32722,1.210494604
Palilula(Belgrade),2013,2.076131201,16.75484281,4.944567627,109.0864745,20.57769727,0.489125162,59,1.089544781,1.1,2.990477416,49702,1.198473997
Palilula(Belgrade),2014,2.067527497,16.75081886,6.157427938,112.1419069,22.1428652,0.48802034,57,1.318326958,1,2.987434053,61209,1.116300695
Palilula(Belgrade),2015,2.075061514,16.74880689,6.184035477,115.7960089,23.07606201,0.514313495,57,1.698248167,1,3.322444079,76846,0.498034984
Palilula(Belgrade),2016,2.068713483,16.74880689,6.640798226,120.9800443,24.01141708,0.503245072,53,2.012511037,1,3.353946754,89607,0.532569589
Palilula(Belgrade),2017,2.068713483,16.74880689,6.046563193,127.1596452,25.10831579,0.516189783,44,4.859884022,0.9,3.58344836,112278,0.539953812
Palilula(Belgrade),2018,2.068713483,16.74880689,6.172949002,131.9046563,28.5569089,0.537508881,38,1.916668033,1,3.649503759,111248,0.56675164
Palilula(Belgrade),2019,2.068713483,16.74880689,5.89135255,140.7095344,25.15068731,0.538271107,35,8.772760288,0.9,3.847940804,120839,0.519864536
Palilula(Belgrade),2020,2.068713483,16.74880689,6.073170732,146.4101996,25.35328346,0.550498521,39,2.493425527,1,3.755710549,21578,0.613887008
Palilula(Belgrade),2021,2.068713483,16.74880689,5.933481153,153.4101996,26.10244508,0.588476497,36,1.626102445,1,3.771147428,47861,0.595653859
Rakovica,2011,0.34125196,0.516294017,18.43333333,863.5,13.59171412,0.213167872,61,0.603776193,1,3.476112721,13203,-0.384217836
Rakovica,2012,0.34125196,0.516294017,24.2,891.8333333,13.85295683,0.20836412,67,0.392097878,1,3.53087266,12315,-0.383503171
Rakovica,2013,0.34125196,0.516294017,26.5,930.1333333,14.76603628,0.205756699,66,0.392097878,1,3.807891949,19837,-0.407103181
Rakovica,2014,0.34125196,0.516294017,27.86666667,942.5666667,15.52658158,0.208337312,71,0.193361491,1,3.807739394,26304,-0.426448256
Rakovica,2015,0.34125196,0.516294017,27.63333333,954.1,16.41197173,0.196865454,72,0.456291409,1,4.0161316,34903,-0.395368855
Rakovica,2016,0.34125196,0.516294017,27.9,984.6666667,17.9560298,0.224733895,72,1.822739398,1,4.009856631,37409,-0.374924129
Rakovica,2017,0.34125196,0.516294017,27.7,1026.833333,19.62628023,0.237983555,57,1.466541294,1,4.095263186,39125,-0.314103217
Rakovica,2018,0.34125196,0.516294017,26.7,1036.866667,25.25924694,0.265817977,47,1.154124845,0.9,4.282792517,47163,-0.30228873
Rakovica,2019,0.341352799,0.516294017,27.06666667,1076.333333,21.63651034,0.28237512,39,0.537305128,1,4.08032491,46894,-0.308795321
Rakovica,2020,0.35350964,0.516294017,29.03333333,1116.133333,21.59762762,0.290736743,39,1.296640991,0.9,3.8940016,17952,-0.265309177
Rakovica,2021,0.35350964,0.516294017,29.43333333,1147.066667,21.57534892,0.304530613,32,0.512996064,0.9,3.890256355,23051,-0.268669369
Savskivenac,2011,6.117395066,0.501113573,31.5,1256.285714,63.27435884,3.597946619,50,59.07270688,74.1,6.832692308,157105,8.498815949
Savskivenac,2012,5.745950367,0.501116413,42.28571429,1250.285714,67.00046456,3.644818094,51,95.18907758,77.5,6.944376206,181531,8.600700405
Savskivenac,2013,4.853756434,0.501116413,41,1270.214286,74.60890493,3.613059759,53,4.729660441,80.1,7.055584966,172231,8.33437236
Savskivenac,2014,4.803494719,0.501113747,46.21428571,1266.928571,81.31501628,3.595724615,53,69.27192356,80.7,6.164541485,145626,8.688229731
Savskivenac,2015,4.395238897,0.501113747,46.71428571,1262.5,89.89939638,4.116737675,55,245.7212877,82.8,6.554042553,151864,8.451498568
Savskivenac,2016,4.312696456,0.501113747,46.92857143,1275.428571,96.51868587,4.178041419,57,323.3718936,82.6,6.29807373,185794,8.198780195
Savskivenac,2017,4.308366698,0.501113747,48.42857143,1290.428571,105.6540224,4.335634763,49,483.5759759,84.2,7.13810616,192933,8.762572452
Savskivenac,2018,4.30630523,0.501113747,46.14285714,1300.5,121.6836449,4.541278709,44,289.550319,85.1,6.903846154,190605,8.752978483
Savskivenac,2019,4.302656479,0.501113747,47.42857143,1302.428571,110.1558302,4.693209708,38,915.7655759,87.1,6.483050847,208138,9.164146428
Savskivenac,2020,4.305306014,0.501113747,47.78571429,1317.285714,111.8909049,4.790752678,37,100.1596771,90.5,6.359229433,48229,9.13466949
Savskivenac,2021,4.306707789,0.501113747,48.57142857,1373.642857,115.5716711,4.974598993,31,631.1225647,91.7,5.66141489,93180,9.127257183
Sopot,2011,5.533201772,0.228492397,0.20295203,14.89667897,7.719539778,0.305891968,62,0,1.3,2.130926171,2569,-0.030838405
Sopot,2012,5.531416934,0.228492397,0.287822878,15.62730627,8.115685407,0.269895678,71,0,1.2,2.115644262,3343,-0.032175207
Sopot,2013,5.531416934,0.231433474,0.346863469,16.22509225,8.688354643,0.262612613,73,0,1.2,2.24576019,2674,0.036867709
Sopot,2014,5.531416934,0.231433474,0.376383764,16.91143911,9.310618067,0.260529711,74,0,1.2,2.30794702,2225,-0.080656063
Sopot,2015,5.50578102,0.23970113,0.42804428,17.46125461,10.18582928,0.291268864,80,0,1.2,2.134020619,1983,-0.104489382
Sopot,2016,5.446030059,0.256236441,0.413284133,18.08118081,10.69893011,0.300531915,77,0,1.2,2.556234719,0,-0.150732427
Sopot,2017,5.683177455,0.289307065,0.376383764,18.94833948,11.02164066,0.313714603,69,0,1.2,2.709538462,0,-0.157739802
Sopot,2018,5.683177455,0.297356352,0.361623616,19.4797048,12.2609617,0.319666212,60,0,1.2,2.678153846,0,-0.161228806
Sopot,2019,5.713608276,0.297356352,0.339483395,20.77859779,10.05659996,0.340444517,52,0,1.2,2.174418605,0,-0.131592323
Sopot,2020,5.713608276,0.304741742,0.468634686,22.01476015,10.50015218,0.336781609,47,0,1.2,2.537703909,0,-0.179672586
Sopot,2021,5.859088842,0.311941939,0.398523985,22.76752768,11.08726753,0.35201005,45,0,1.2,3.830540037,0,-0.185015342
Starigrad,2011,3.837960759,0.500073111,121,4282.8,90.93902414,2.040861337,56,57.89333855,5.2,5.453319419,107275,6.735106243
Starigrad,2012,4.039762278,0.500073111,155,4170.6,96.84450903,1.96296521,58,230.2495537,5.4,5.407378087,127668,6.764770481
Starigrad,2013,4.011293884,0.500073111,158.2,4217,106.4307602,1.87208977,59,218.6637913,5.2,5.173680905,141605,7.012571019
Starigrad,2014,3.973183429,0.500073111,162.6,4118.2,113.3290951,1.902977233,59,43.11561772,5.1,5.82436611,141173,6.346093831
Starigrad,2015,3.94713043,0.500073111,165.6,4154.6,121.4278081,2.180353583,64,23.63492572,5.1,6.018490679,147282,6.5220573
Starigrad,2016,4.171244925,0.499592925,164.2,4523.2,129.2527274,2.117285815,63,30.05803976,4.9,5.6782685,164044,6.581606686
Starigrad,2017,4.287488869,0.499592925,172,4474.8,137.0839418,2.145940178,55,55.29055954,4.8,5.679684135,182396,5.849192787
Starigrad,2018,4.890107595,0.499675478,159.2,4409.4,157.403929,2.200939033,50,55.72887985,4.7,5.443456163,208107,5.84184735
Starigrad,2019,5.352822796,0.499897736,166.6,4499.2,143.1421335,2.307324495,44,65.47385291,4.9,5.377575333,249212,5.546801613
Starigrad,2020,5.522599518,0.499897736,180.6,4515.4,148.4181599,2.41685177,42,88.8668211,4.7,5.36692254,71388,5.70604107
Starigrad,2021,5.513484299,0.499897736,181.6,4367.8,155.4926466,2.478668172,38,59.6108541,4.8,5.327439788,149394,5.730751114
Surčin,2011,5.802567703,0.514245051,3.09375,154.4097222,11.3823745,0.276800779,48,13.95992122,0.7,1.936405313,0,
Surčin,2012,5.735510568,0.514245051,4.302083333,157.9409722,12.0416478,0.325576898,49,48.34006338,0.7,2.133162612,0,
Surčin,2013,5.732807544,0.514245051,4.371527778,163.6423611,13.23657865,0.338652198,50,60.12708011,0.7,2.201269475,2225,
Surčin,2014,5.533388782,0.514245051,1.163194444,37.21527778,14.3902439,0.35339116,47,48.96567627,0.7,2.276803119,2671,
Surčin,2015,5.377105988,0.514245051,1.177083333,38.58680556,15.36772777,0.415444583,51,143.8432053,0.7,2.531873866,2877,
Surčin,2016,5.324244989,0.514245051,1.138888889,41.16666667,16.64959575,0.457747828,51,93.28221501,0.7,2.638623327,423,
Surčin,2017,5.261667653,0.514139998,1.21875,43.61458333,17.52141386,0.493309915,43,109.8010409,0.7,2.541080598,1403,
Surčin,2018,5.162919338,0.514139998,1.170138889,45.45486111,20.385295,0.518300862,35,103.975542,0.7,2.986054234,7246,
Surčin,2019,5.102869135,0.514620184,1.298611111,48.71180556,17.96432767,0.551634947,28,136.9016341,0.7,2.902074871,10082,
Surčin,2020,5.114233875,0.51510037,1.354166667,51.40972222,18.12547754,0.58082069,27,213.6635113,0.7,2.78974359,5407,
Surčin,2021,5.110944499,0.51510037,1.434027778,53.57986111,18.59460375,0.583824145,26,855.6563599,0.7,3.32243346,8491,
Čukarica,2011,0.761148408,16.74630022,1.070063694,60.75796178,17.92081066,0.259893857,62,0.007141832,1.1,3.219670799,15903,-0.006361507
Čukarica,2012,0.761148408,16.74630022,1.458598726,63.38853503,18.46419041,0.256595731,64,0.214934889,1,3.443928751,14914,-0.037181382
Čukarica,2013,0.761148408,16.74630022,1.815286624,66.07643312,19.88656799,0.261672825,64,0.00070276,1,3.404928468,20197,-0.110616854
Čukarica,2014,0.761148408,16.74630022,8.369426752,305.1847134,21.12992159,0.270013744,63,0.00070276,1,3.510945447,19571,-0.040588547
Čukarica,2015,0.761148408,16.74630022,8.47133758,310.4522293,22.98472333,0.288828672,63,0.00070276,1,3.715530929,12555,-0.020970112
Čukarica,2016,0.761148408,16.74630022,8.636942675,320.8280255,25.39197456,0.315468305,61,1.301647669,1,3.964214381,15527,0.024918445
Čukarica,2017,0.761148408,16.74642597,8.961783439,333.2165605,26.38158413,0.327601477,56,0.085592333,1,4.065500583,21807,0.042064304
Čukarica,2018,0.761148408,16.7483122,8.484076433,339.522293,32.1532892,0.341708246,50,4.697944039,1,4.196735481,24692,0.034803899
Čukarica,2019,0.761148408,16.7483122,8.350318471,352.6942675,27.75707478,0.369606997,44,0.145493145,1,4.120750837,20434,0.047825398
Čukarica,2020,0.761148408,16.75208465,9.27388535,365.6878981,27.36511571,0.384719066,40,0.267388014,1,3.952963061,3768,0.062942622
Čukarica,2021,0.761148408,16.75258764,9.713375796,374.9872611,28.28237821,0.397988631,35,5.694012202,1,4.06857428,7218,0.057766466
Sombor,2011,3.480392157,0.117615132,0.401315789,15.01973684,11.24430815,0.360742615,84,0.301103281,3.2,2.182481752,7451,0.083578632
Sombor,2012,3.06600726,0.085855263,0.492598684,15.41776316,11.30076239,0.36116043,87,0.301103281,3.3,2.207017544,8389,0.017872127
Sombor,2013,2.370556024,0.085855263,0.550986842,15.57154605,12.03273665,0.366881464,93,0.301103281,3.4,2.246051351,8203,-0.095639038
Sombor,2014,2.798300059,0.113421053,0.586348684,15.67269737,12.55747506,0.361501592,88,0.301103281,3.3,2.326533719,7588,-0.049938982
Sombor,2015,2.829139812,0.113421053,0.630756579,16.02302632,12.96289553,0.385019519,87,0.107708553,3.3,2.471751847,9838,0.058538525
Sombor,2016,2.863478336,0.113421053,0.657894737,16.50740132,13.5133475,0.385424996,84,0,3.3,2.441996263,11271,0.000443437
