Source,Ada,Aleksandrovac,Aleksinac,Alibunar,Apatin,Aranđelovac,Arilje,Babušnica,BajinaBašta,Barajevo,Batočina,Bač,BačkaPalanka,BačkaTopola,BačkiPetrovac,BelaCrkva,BelaPalanka,Beočin,Bečej,Blace,Bogatić,Bojnik,Boljevac,Bor,Bosilegrad,Brus,Bujanovac,CityofUžice,CrnaTrava,CrveniKrst,Crvenikrst,Despotovac,Dimitrovgrad,Doljevac,GadžinHan,Golubac,GornjiMilanovac,Grocka,Inđija,Irig,Ivanjica,Jagodina,Kanjiža,Kikinda,Kladovo,Knić,Knjaževac,Koceljeva,Kosjerić,Kostolac,Kovačica,Kovin,Kragujevac,Kraljevo,Krupanj,Kruševac,Kula,Kuršumlija,Kučevo,Lajkovac,Lapovo,Lazarevac,Lebane,Leskovac,Ljig,Ljubovija,Loznica,Lučani,Majdanpek,MaliIđoš,MaliZvornik,MaloCrniće,Medijana,Medveđa,Merošina,Mionica,Mladenovac,Negotin,NiškaBanja,NovaCrnja,NovaVaroš,NoviBeograd,NoviBečej,NoviKneževac,NoviPazar,NoviSad,Obrenovac,Odžaci,Opovo,Osečina,Palilula(Belgrade),Palilula(Niš),Pantelej,Pančevo,Paraćin,PetrovacnaMlavi,Pećinci,Pirot,Plandište,Požarevac,Požega,Preševo,Priboj,Prijepolje,Prokuplje,Rakovica,Rača,Raška,Ražanj,Rekovac,Ruma,Savskivenac,Senta,Sevojno,Sečanj,Sjenica,Smederevo,SmederevskaPalanka,Sokobanja,Sombor,Sopot,Srbobran,SremskaMitrovica,SremskiKarlovci,StaraPazova,Starigrad,Subotica,Surdulica,Surčin,Svilajnac,Svrljig,Temerin,Titel,Topola,Trgovište,Trstenik,Tutin,Ub,Valjevo,Varvarin,VelikaPlana,VelikoGradište,Vladimirci,VladičinHan,Vlasotince,Voždovac,Vranje,VranjskaBanja,Vračar,Vrbas,VrnjačkaBanja,Vršac,Zaječar,Zemun,Zrenjanin,Zvezdara,Ćićevac,Ćuprija,Čajetina,Čačak,Čoka,Čukarica,Šabac,Šid,Žabalj,Žabari,Žagubica,Žitište,Žitorađa
Požarevac,10438,8850,6448,5963,12178,4435,10503,10551,12960,4423,3209,10111,9773,8988,8197,4506,8880,8065,8978,9179,7804,9258,6794,8932,14927,9211,11321,11069,12407,7459,3640,4684,10846,7852,8920,2755,6976,2750,5865,6539,11468,3904,10747,10987,8920,5647,10359,7639,10737,935,5959,2526,4427,7790,11476,6507,8923,10616,3297,6108,3132,5973,10194,8981,6890,12028,10796,9497,6099,8518,12237,1125,7950,11743,8025,7381,3136,8843,8337,9952,14731,4138,9464,11185,13600,7454,5296,9845,5687,9810,3903,7673,7525,4277,4741,2405,5308,9874,7121,,9780,12343,16082,16387,9164,3668,3463,12240,5534,5903,5938,3721,10419,10619,7975,15945,2114,2924,8024,11423,3066,7951,6386,6665,5307,3957,10233,10594,4645,3100,8764,7643,6954,4447,15337,7930,16312,6047,7724,5623,2279,2151,7687,10090,9235,3666,10914,11121,3643,8076,8167,6033,8564,4235,7871,3460,5185,4259,12017,8045,10680,4675,7499,7719,7219,2165,5661,8661,8401
Požega,12649,8871,10518,10889,14389,6195,927,14620,4525,6967,6862,12323,11984,11200,10408,12537,12950,10276,11190,10872,9472,13328,10863,12781,18996,9229,15390,1528,16476,11528,7740,9374,14916,11922,12989,12372,3149,9124,8076,8749,2867,7974,12958,13518,17567,4120,14429,6524,1494,10197,10009,10052,5618,4507,8561,8343,11134,12309,12300,4693,7312,5270,14264,13050,3761,6206,9428,776,15106,10729,8447,10374,12020,15812,12094,4941,6875,15178,12407,12921,5191,7291,11675,13396,9494,9665,5876,12057,8657,6865,7490,11743,11594,8905,8810,9969,7518,13943,12498,9872,,16413,6541,6846,12346,7130,7249,8746,9603,7402,8148,7338,12630,1078,12024,7250,9383,7543,12202,13634,7907,10162,8596,8876,7518,7597,12444,14664,6655,7888,12833,9855,9626,5391,19407,6457,11062,5026,4951,9191,7840,11768,7253,14159,13304,7632,14984,15190,7558,10287,6045,12486,12633,7205,10779,7763,8986,8328,2477,2303,12891,7115,8100,9929,9431,8474,12860,11631,12471
Preševo,20714,10561,6434,16364,22454,14083,17454,7445,21016,14699,10160,20387,20049,19264,18473,15412,7246,18341,19254,7986,18080,6020,10629,12542,7806,9875,1641,18019,6372,5825,13916,10582,9212,4998,5990,15168,14280,13017,16141,16815,17873,9439,21023,21263,15853,12598,8730,17915,18083,12993,16360,12927,11378,12961,21752,8831,19199,8521,15116,16384,10316,16104,6118,4753,15948,22304,21072,16448,16137,18794,22513,13170,6258,7666,5837,17244,13158,13464,6703,20228,21682,14414,19740,21461,15847,17730,15572,20121,15963,20086,14179,5631,5891,14678,8694,12786,15584,8240,17973,12668,16730,,23032,23337,6468,13944,11069,14558,7414,11112,16214,13997,20695,17569,18376,19544,12537,11593,8334,21699,13342,18227,16662,16941,15583,14233,20509,3474,14921,10705,7130,17919,17230,12938,5925,10859,18560,16323,18000,8638,10657,14564,17963,2969,4520,13942,2356,2562,13919,18352,11489,16939,11296,14512,18147,13736,8199,8926,18968,14995,20956,14951,17775,17995,17495,11291,15236,18937,5547
Priboj,19026,14444,16895,17266,20766,12572,7236,20997,7195,13344,13239,18700,18361,17577,16785,18914,19327,16653,17567,15820,15849,19705,17240,19158,25373,13990,21767,5320,22853,17905,14117,15751,21293,18299,19366,18749,9526,15501,14453,15126,6441,14351,19335,19895,23944,10497,20806,12924,7776,16574,16386,16429,11995,10884,12396,14720,17511,16617,18677,11070,13689,11647,20641,19427,10138,10040,14193,7153,21483,17106,12282,16751,18397,22189,18427,11341,13252,21555,18784,19298,2076,13668,18052,19774,8487,16042,12253,18434,15034,12850,13867,18120,17971,15282,15188,16346,13895,20320,18875,16249,6629,22790,,1886,17295,13507,13627,9544,15980,13779,14525,13715,19008,5717,18401,4386,15760,13920,18579,20011,14284,16539,14973,15253,13895,13975,18821,21041,13032,14265,19210,16232,16003,11768,25784,12834,8197,11403,11351,15568,14217,18145,13630,20536,19681,14009,21361,21568,13936,16664,12422,18863,19010,13582,17156,14140,15363,14705,4136,8680,19268,13492,14477,16306,15808,14851,19237,18008,18215
Prijepolje,19334,14104,17202,17573,21073,12879,7442,21305,7502,13651,13546,19007,18669,17884,17092,19221,19634,16960,17874,15480,16156,19843,17548,19466,25681,13650,22075,5628,23161,18213,14425,16058,21600,18584,19674,19057,9833,15809,14761,15434,6404,14658,19643,20203,24251,10804,21113,13231,8083,16881,16694,16737,12302,11271,12703,15027,17819,16277,18984,11378,13996,11955,20779,19735,10446,10348,14500,7460,21790,17414,12589,17058,18704,22043,18087,11648,13559,21862,19091,19606,1736,13975,18360,20081,8147,16350,12561,18741,15342,13157,14175,18427,18279,15589,15495,16654,14202,20628,19182,16556,6936,23097,1868,,16954,13814,13934,9204,16288,14087,14832,14023,19315,6024,18708,4045,16068,14228,18887,20318,14592,16847,15280,15561,14202,14282,19128,21348,13339,14573,19518,16539,16310,12076,26091,13141,7857,11710,11658,15876,14524,18453,13937,20844,19988,14316,21668,21875,14243,16972,12730,19171,19318,13890,17463,14447,15671,15013,4444,8988,19575,13799,14784,16613,16115,15158,19544,18315,17874
Prokuplje,17492,4092,3212,13142,19232,10861,12517,5695,16103,11477,6938,17166,16827,16042,15251,12190,4024,15120,16032,1518,14858,2888,7407,9320,8970,3406,5364,13106,6450,2603,10695,7360,5990,1629,3271,11946,10493,9795,12919,13593,11930,6217,17801,18041,12631,8686,5508,14218,13169,9771,13138,9705,8156,7651,17543,4277,15977,2052,11894,12293,7094,12871,3824,3024,11361,17740,17850,11534,12915,15572,19291,9948,2833,5372,1125,12657,9937,10242,3481,17006,15393,11192,16518,18239,9379,14508,12350,16899,12742,15521,10957,2307,2669,11456,5472,9564,12362,5018,14751,9446,11817,6386,17367,17049,,10722,7847,8089,4192,7580,12992,10775,17473,12656,15154,13075,9315,8372,5112,18477,10120,15005,13440,13719,12361,11011,17287,4637,11700,7483,3908,14697,14008,9716,9380,5549,12091,12626,13436,5416,7435,11342,14741,4133,3277,10720,4957,5164,10697,15130,6179,13717,8074,11290,14925,10514,4977,5704,14054,10082,17734,11729,14553,14773,14274,8069,12014,15715,919
Rakovica,7511,10168,7766,4843,9250,4062,7712,11869,9693,1438,4527,7184,6846,6061,5269,6421,10198,5137,6051,10497,4876,10576,8112,10030,16245,10529,12639,8277,13725,8777,1534,6002,12164,9170,10238,6256,5185,2264,2938,3611,9199,5222,7820,8380,12422,6955,11677,4372,7470,4081,4361,3936,5745,7342,8432,7825,5996,11934,6430,3147,4450,3014,11512,10299,3623,8761,7868,6706,9233,5591,9309,4258,9268,13060,9342,4054,2763,12345,9655,7630,11940,1659,6537,8258,13015,4527,2028,6918,3365,6542,1539,8991,8843,2859,6059,5538,2379,11192,6452,3756,6988,13661,13290,13596,10482,,4781,11654,6852,7221,3009,1047,7492,7827,6377,13677,3267,4210,9342,8495,2622,5024,3457,3738,2380,1593,7305,11912,1517,4517,10082,4716,4487,4074,16655,9292,15727,2780,4457,6941,3597,5653,4420,11408,10552,1317,12232,12439,1449,5149,8880,6441,9882,1914,5549,1354,6502,5577,9226,5776,7752,1407,4570,4790,4292,4231,8794,6339,9719
Rača,11534,7232,4831,7185,13274,3073,8061,8933,11623,5519,1121,11208,10869,10085,9293,6232,7263,9162,10075,7562,8901,7641,5176,7094,13309,7593,9703,8626,10789,5841,4737,2970,9229,6235,7302,5988,4459,3837,6961,7635,9161,2287,11843,12083,11880,3340,8742,8357,8689,3813,7181,3747,2126,5483,11728,4889,10019,8999,5896,5799,730,5094,8577,7363,5207,11925,11892,7054,8702,9614,13333,3990,6333,10125,6407,6503,3009,9491,6720,11048,12288,5234,10560,12282,11293,8550,6392,10942,6784,9707,4999,6056,5907,5499,3124,3565,6404,8256,8794,3488,7337,10726,13639,13944,7547,4764,,9933,3916,3886,7034,4817,11516,8176,9196,13638,3358,1444,6407,12519,4128,9047,7482,7761,6403,5054,11329,8977,5742,1485,7146,8740,8050,1928,13720,5999,14005,6765,7622,4006,1492,5385,8783,8472,7617,4762,9297,9504,4739,9172,5860,7759,6946,5332,8968,4556,3567,2641,9574,5738,11776,5771,8595,8815,8316,2111,6456,9757,6784
Raška,17177,5105,10220,15417,18917,10449,8026,13698,12939,11495,9227,16851,16512,15728,14936,14961,12028,14804,15718,6522,14000,10885,11805,13723,16967,4653,13361,9941,14447,10606,12268,11681,13994,9626,11268,14717,7421,12566,12604,13277,6128,10339,17486,18046,18509,6486,13512,11146,10005,12542,14537,12476,7984,4911,14470,7544,15662,7360,14665,9221,9677,9798,11821,11021,8289,14716,15012,8202,17472,15257,16957,12719,10837,13125,9129,9585,11129,16120,11485,17449,7581,11819,16203,17925,1567,14193,10404,16585,13185,12449,12018,10311,10672,13433,9826,12335,12046,13021,17026,12216,8652,14384,9555,9237,7996,11658,9837,,9406,9768,12676,11866,17159,9491,16552,5263,12086,11142,11403,18162,12161,14690,13124,13404,12046,12126,16972,12634,11183,10254,11911,14383,14154,9645,17377,6820,4279,9554,10364,8778,10206,14113,11781,12130,11275,12160,12954,13161,12087,14815,6409,16488,13575,11733,15307,12291,8573,10026,10178,6603,17419,11643,12628,14457,13959,10839,15225,16159,8916
Ražanj,13676,4487,1342,9326,15416,7046,10534,5444,13979,7661,3122,13350,13011,12227,11435,8374,3774,11304,12217,4617,11043,4152,3668,5586,9820,4848,6214,10981,7300,2352,6879,3544,5740,2746,3813,8130,7242,5979,9103,9777,10581,2401,13985,14225,10371,5560,5239,10878,11045,5955,9322,5889,4340,5669,14714,1971,12161,6055,8079,9346,3278,9066,5088,3874,8910,15266,14034,9410,10217,11756,15475,6132,2844,6636,2918,10206,6121,7982,3231,13190,14644,7376,12702,14423,10828,10692,8534,13083,8926,13048,7141,2567,2418,7641,1656,5748,8546,4767,10935,5630,9692,7237,15994,16300,4058,6906,4031,9467,,3995,9176,6959,13657,10531,11338,14524,5500,4556,2599,14661,6305,11189,9624,9903,8545,7196,13471,5488,7884,3667,3657,10881,10192,5901,10231,3567,13540,9286,10963,1521,3619,7526,10925,4983,4128,6904,5808,6015,6881,11314,4197,9901,5438,7474,11110,6698,1082,1888,11930,7957,13918,7913,10737,10957,10458,4253,8127,11899,3295
Rekovac,13963,5347,4882,9613,15702,5472,8108,8984,11671,7948,3185,13636,13298,12513,11721,8661,7314,11590,12503,6072,11329,7691,5407,7325,13360,5708,9754,8674,10840,5892,7165,3865,9279,6285,7353,8417,5137,6265,9390,10064,9073,2056,14272,14512,12111,3252,8797,9786,8737,6241,9609,6176,2086,5309,13110,3330,12448,7509,8365,7861,3564,7493,8628,7414,6806,13308,13652,7102,11171,12043,15592,6419,6384,10176,6458,8101,5687,9721,6771,13476,12336,7662,12989,14710,11205,10979,8820,13370,9212,11089,7428,6106,5958,7927,3124,6035,8833,8307,11222,5916,7385,10777,13687,13992,7546,7192,3937,9845,4009,,9462,7246,13944,8224,11625,13550,5786,4842,6499,14947,6719,11476,9910,10190,8831,7482,13757,9027,8170,3954,7197,11168,10479,4325,13771,3095,13917,8194,9004,2496,3905,7813,10421,8523,7668,7191,9348,9554,7168,11600,3898,10188,7177,7760,11396,6985,2923,2600,9622,5650,14204,8199,11023,11244,10744,4539,8247,12186,6835
Ruma,7010,12504,10103,6367,8418,6399,8939,14205,10891,3774,6863,6258,5382,5553,4225,8485,12535,2125,5551,12834,2565,12912,10448,12366,18581,12865,14975,9504,16061,11113,3219,8339,14500,11506,12574,8593,6412,4588,1490,837,10426,7558,7312,8044,14758,8182,14014,4132,8696,6418,5488,6273,8081,8568,6309,10161,5488,14271,8766,4541,6786,5350,13849,12635,4850,8366,5557,7933,11569,5083,6998,6595,11605,15397,11679,5280,5099,14681,11992,7523,13167,2770,6036,7750,14241,2579,3195,6100,4136,5798,2969,11327,11179,4383,8395,7874,1154,13528,7976,6092,8215,15998,14517,14822,12819,3160,7117,12881,9188,9557,,2817,6984,9054,7010,14903,5604,6546,11678,7987,4771,4533,1251,2152,1684,3076,6798,14248,2435,6853,12418,4034,4201,6410,18992,10518,16954,4007,5655,9278,5933,7989,3266,13744,12889,3110,14569,14775,3037,4641,10107,7965,12218,2684,5305,3241,8839,7913,10453,7003,7244,3438,2332,2725,3957,6567,11130,6233,12056
Savskivenac,7301,10158,7757,4028,9041,4053,8062,11859,10042,2125,4517,6975,6636,5852,5060,6146,10189,4929,5842,10488,4668,10566,8102,10020,16235,10519,12629,8627,13715,8767,864,5993,12154,9161,10228,6247,5535,2242,2729,3403,9549,5212,7610,7851,12412,6956,11668,4722,7819,4072,3546,3949,5735,7691,8339,7815,5786,11925,6421,3664,4440,3701,11503,10289,3972,9110,7659,7055,9223,5381,9101,4249,9259,13051,9333,4403,2753,12335,9646,6815,12290,1001,6327,8049,13364,4317,2244,6709,2551,6892,724,8981,8833,2044,6049,5529,2171,11182,5637,3746,7338,13652,13640,13945,10473,1030,4771,12004,6842,7211,2801,,7283,8177,5562,14026,3258,4200,9332,8286,2684,4814,3249,3529,2170,779,7096,11902,1509,4507,10072,4507,3817,4064,16646,9238,16076,3130,4806,6932,3587,5643,4636,11398,10543,704,12223,12429,682,4939,9229,5626,9872,1099,4735,895,6493,5567,9576,6126,7543,1727,4362,4582,4083,4221,8784,5525,9710
Senta,1022,17093,14692,8848,5806,10988,13486,18794,15466,8321,11452,6053,6316,2282,4810,11523,17123,5883,2547,17422,9558,17501,15037,16955,23170,17454,19564,14051,20650,15702,7808,12927,19089,16095,17163,13182,10959,9177,5770,6298,14973,12147,1239,2453,19347,12729,18603,10146,13244,11006,7943,10544,12670,13116,13213,14750,3720,18860,13355,9088,11375,9897,18438,17224,9397,14535,12550,12480,16158,2938,13991,11184,16194,19986,16268,9827,9688,19270,16580,3796,17714,7358,3355,1166,18789,4638,7742,5301,7820,12316,7558,15916,15768,8640,12984,12463,7331,18117,8410,10681,12762,20587,19064,19370,17408,7708,11706,17428,13777,14146,7121,7406,,13601,6441,19450,10192,11135,16267,5052,9318,3252,8140,5379,6015,7665,3072,18837,6982,11442,17007,3979,5909,10999,23580,15066,21501,8554,10231,13867,10522,12578,10171,18333,17478,7699,19158,19364,7626,3476,14654,9558,16807,6848,5099,7830,13428,12502,15000,11550,370,7985,9237,9419,4202,11156,15719,4540,16645
Sevojno,13496,9718,11364,11735,15235,7041,1762,15466,3622,7813,7708,13169,12830,12046,11254,13383,13796,11122,12036,11718,10318,14174,11709,13628,19843,10076,16237,625,17322,12374,8587,10220,15762,12768,13836,13218,3995,9971,8923,9596,3702,8820,13804,14364,18413,4966,15275,7316,2287,11043,10856,10898,6464,5353,8003,9189,11980,13155,13146,5539,8158,6117,15110,13897,4607,5647,9800,1622,15952,11575,7889,11220,12866,16658,12940,5733,7721,16024,13253,13767,4288,8137,12521,14243,10329,10512,6723,12903,9503,7658,8336,12589,12441,9751,9657,10815,8364,14790,13344,10718,1098,17259,5638,5943,13193,7976,8096,9592,10449,8249,8994,8185,13477,,12870,6493,10229,8389,13048,14480,8753,11008,9442,9723,8364,8444,13290,15510,7501,8735,13679,10701,10472,6238,20253,7303,10304,5872,5743,10038,8686,12615,8099,15006,14150,8478,15830,16037,8405,11133,6891,13333,13480,8051,11625,8609,9833,9175,1574,3150,13737,7961,8946,10775,10277,9320,13706,12477,13317
Sečanj,5379,14667,12266,2408,9913,9142,12725,16368,14706,7513,9027,7797,7341,6584,5765,5083,14698,5858,4219,14997,9232,15076,12611,14529,20744,15028,17138,13291,18224,13276,5311,10502,16664,13670,14737,9280,10198,7320,5504,6273,14212,9722,7413,4195,15445,11465,16177,9385,12483,8428,2177,5959,10245,12355,12904,12324,6658,16434,10777,8327,8950,9089,16012,14799,8636,13774,12224,11719,13580,6253,13665,8605,13768,17560,13842,9067,7843,15368,14155,2846,16953,5843,3742,7086,18028,5022,6981,7604,3443,11555,5278,13491,13343,3945,10559,9885,6736,15692,1969,8103,12002,18161,18303,18609,14982,6432,9280,16667,11351,11720,7096,5625,6396,12840,,18690,6517,8722,13842,9158,7773,5310,7814,5355,5749,5085,7968,16412,6074,9016,14581,4283,3396,9153,21155,13747,20740,7793,9470,11441,8097,8312,9373,15907,15052,5808,16732,16939,5394,5811,13985,3117,14381,5003,1843,5764,11002,10076,14239,10789,6290,6854,8927,9147,3334,8730,13141,1872,14219
Sjenica,19286,10104,15218,17526,21026,12576,6382,18656,8037,13604,13018,18960,18621,17837,17045,18752,16986,16913,17827,11480,16109,15843,16804,18722,21925,9650,18319,6163,19405,15564,14378,15530,18952,14584,16226,18508,9530,15506,14714,15386,4484,14130,19596,20156,23507,10276,18470,13255,8619,16333,16647,16267,11774,9584,13239,12542,17771,12277,18456,11330,13468,11908,16779,15979,10398,10883,15036,7654,21262,17366,13125,16510,15795,18043,14087,11694,13256,21118,16443,19558,2383,13928,18312,20034,4147,16302,12514,18694,15294,13693,14127,15269,15630,15542,14825,16126,14155,17979,19135,16007,7225,19342,4357,4038,12954,13767,13627,5204,14405,13559,14785,13976,19268,6560,18661,,15764,13924,16402,20271,14288,16800,15233,15514,14155,14235,19081,17592,13292,14045,16869,16492,16263,11772,22335,11633,3806,11663,12149,13776,13996,17904,13890,17088,16233,14269,17912,18119,14196,16924,11221,19124,18574,13842,17416,14400,13571,14485,4979,8331,19528,13752,14737,16566,16068,14630,19016,18268,13874
Smederevo,9967,8716,6315,4443,11707,3964,10107,10417,12489,3952,3076,9641,9302,8518,7726,3491,8747,7595,8508,9046,7334,9125,6660,8578,14794,9077,11187,10673,12273,7325,3170,4551,10713,7719,8786,4698,6506,1490,5394,6068,11289,3771,10276,10375,10863,5514,10226,7169,10266,2522,4439,1006,4294,7656,11005,6373,8452,10483,4871,5637,2999,5502,10061,8848,6419,11557,10325,9101,7674,8047,11766,2699,7817,11609,7891,6911,2665,10786,8204,9163,14335,3667,8993,10714,13467,6983,4825,9374,4553,9339,3432,7540,7392,2757,4608,3979,4837,9741,6052,2197,9384,12210,15685,15991,9031,3197,3329,12106,5400,5769,5467,3250,9948,10222,6455,15767,,2816,7891,10952,2596,7480,5915,6194,4836,3487,9762,10461,4175,3065,8630,7172,6342,3976,15204,7796,16179,5577,7254,5490,2146,4094,7216,9956,9101,3195,10781,10988,3172,7605,8034,5018,8430,3765,7259,2989,5051,4126,11621,7866,10209,4204,7028,7248,6749,2779,7235,8049,8268
SmederevskaPalanka,10872,7704,5303,6754,12611,2910,8124,9405,11686,4401,2063,10545,10207,9422,8630,5802,7734,8499,9412,8034,8238,8112,5648,7566,13781,8065,10175,8689,11261,6313,4074,3538,9700,6706,7774,5567,4522,3211,6299,6973,9306,2758,11181,11421,11732,4502,9214,7743,8752,3392,6750,3317,3281,6644,11504,5361,9356,9471,5634,5575,1986,4869,9048,7835,5270,11701,11230,7118,8440,8952,12671,3569,6805,10597,6879,6292,1667,9962,7191,10385,12352,4571,9898,11619,12454,7888,5729,10279,6121,9482,4337,6527,6379,5068,3595,3303,5742,8728,8363,3067,7400,11198,13702,14007,8019,4101,1368,11094,4388,4757,6371,4155,10853,8239,8766,13783,2729,,6878,11856,2786,8385,6819,7099,5740,4391,10666,9448,5079,2053,7618,8077,7388,1992,14191,6784,15166,6151,7397,4478,912,4963,8121,8944,8089,4100,9768,9975,4077,8509,7021,7329,7418,4669,8305,3894,4039,3113,9638,5883,11113,4954,7932,8152,7653,1657,6602,9095,7256
Sokobanja,16244,6516,1973,11894,17984,9614,12954,6557,16540,10229,5690,15918,15579,14794,14003,10942,4887,13872,14784,6605,13611,5264,2371,4437,10933,6877,7327,13543,8413,3465,9447,6112,6852,3858,4926,10698,9810,8547,11671,12345,13000,4969,16553,16793,9222,8128,2715,13446,13606,8523,11890,8457,6908,8088,17282,3959,14729,7224,10646,11914,5846,11634,6201,4987,11478,17834,16602,11971,9068,14324,18043,8700,3957,7749,4031,12774,8689,6833,4344,15758,17205,9944,15270,16991,12856,13260,11102,15651,11494,15616,9709,3679,3531,10208,4224,8316,11114,5880,13503,8198,12254,8350,18556,18861,5171,9474,6599,11496,2665,6564,11744,9527,16225,13093,13906,16552,8068,7124,,17229,8872,13757,12192,12471,11113,9764,16039,6600,10452,6235,4193,13449,12760,8469,11344,5986,15569,11854,13531,4089,6187,10094,13493,6096,5241,9472,6921,7127,9449,13882,6616,12469,4289,10042,13678,9266,3650,4456,14491,10519,16486,10481,13305,13525,13026,6821,6978,14467,4408
Sombor,5739,17884,15482,11414,1320,11778,14277,19584,16257,9112,12243,3203,4426,2671,4070,13531,17914,6674,5061,18213,10300,18292,15827,17746,23961,18244,20355,14842,21440,16492,8599,13718,19880,16886,17954,13972,11750,9967,6561,7089,15764,12938,4909,7282,20138,13519,19393,10936,14034,11797,8849,11335,13461,13906,14004,15540,2379,19650,14146,9879,12166,10687,19228,18015,10187,15325,13292,13270,16948,3339,14733,11974,16984,20776,17058,10618,10479,20060,17371,8265,18504,8149,5870,5281,19579,5429,8533,2222,8554,13107,8348,16707,16559,9430,13775,13254,8122,18908,11027,11472,13553,21377,19855,20160,18198,8498,12496,18219,14567,14936,7911,8197,4939,14392,9058,20241,10983,11926,17058,,10108,4027,8588,6170,6806,8456,3061,19628,7773,12232,17797,4886,6700,11790,24371,15856,22291,9344,11021,14657,11313,13369,10961,19124,18268,8490,19948,20155,8417,3380,15444,12175,17598,7639,7353,8621,14218,13293,15790,12341,5199,8776,10027,9658,5825,11946,16510,8034,17435
Sopot,9160,9497,7095,6219,10900,2202,8468,11198,10315,1648,3856,8833,8495,7710,6919,5750,9527,6786,7700,9826,6525,9905,7440,9359,15574,9857,11968,9033,13054,8106,2653,5331,11493,8499,9567,5585,5018,2338,4587,5260,9802,4551,9469,9999,11751,5903,11006,5217,8092,3410,5737,3265,4816,7893,9185,7154,7645,11263,5759,3257,3779,3122,10841,9628,4202,9383,9727,7462,8561,7240,10958,3587,8597,12389,8671,4530,1178,11674,8984,8964,12696,3150,8186,9907,13566,6176,3426,8567,4700,7164,2915,8320,8172,4235,5388,4867,4029,10521,7828,3085,7744,12990,14046,14352,9811,2640,4031,12206,6181,6550,4658,2733,9141,8583,7753,14280,2596,2831,8671,10144,,6673,5106,5387,4029,2970,8955,11241,3166,3845,9410,6365,5966,2489,15984,8689,16278,3625,5079,6270,2926,4982,5852,10737,9881,2678,11561,11768,2656,6798,8551,7277,9211,3248,6884,2473,5831,4906,9982,6379,9401,2271,6220,6440,5941,3560,8123,7673,9048
Srbobran,2589,14564,12163,7689,4889,8459,10957,16265,12937,5792,8923,3724,3824,1767,2282,10212,14594,3293,1358,14894,6968,14972,12508,14426,20641,14925,17035,11522,18121,13173,5279,10398,16560,13566,14634,10653,8430,6648,3241,3708,12444,9618,3525,4174,16818,10200,16074,7617,10714,8477,5529,8015,10141,10587,10623,12221,1634,16331,10826,6559,8846,7368,15908,14695,6868,12006,9960,9951,13629,1214,11401,8654,13665,17457,13739,7298,7159,16741,14051,4374,15185,4829,1979,3964,16260,2109,5213,3110,5234,10112,5029,13387,13239,6110,10455,9934,4802,15588,7250,8152,10233,18058,16535,16841,14879,5179,9177,14899,11248,11617,4530,4877,3198,11072,5281,16922,7664,8606,13738,4134,6789,,5549,2789,3486,5136,3011,16308,4453,8913,14478,1085,3380,8470,21051,12537,18972,6025,7702,11338,7993,10049,7580,15804,14949,5170,16628,16835,5097,787,12125,8398,14278,4319,3617,5301,10899,9973,12471,9021,3458,5456,6646,6829,2024,8627,13190,4143,14116
SremskaMitrovica,8093,12942,10540,6805,8739,6836,9377,14642,10886,4211,7301,6126,5109,6636,4585,8922,12972,2723,6634,13271,1858,13350,10886,12804,19019,13302,15413,9942,16499,11551,3657,8776,14938,11944,13012,9030,6850,5025,2756,2051,10864,7996,8395,9127,15196,8619,14451,4128,9201,6855,5926,6710,8519,9006,6055,10599,6709,14708,9204,4978,7224,5787,14286,13073,5287,8111,4849,8370,12006,6166,6291,7032,12042,15834,12116,5718,5537,15119,12429,8606,13604,3207,7119,8833,14679,3684,3633,6421,4573,5686,3406,11765,11617,4821,8833,8312,1554,13966,8414,6530,8653,16435,14955,15260,13256,3598,7554,13319,9626,9995,1261,3255,8067,9492,7940,15341,6041,6984,12116,8684,5208,5616,,3366,2799,3514,7880,14686,2872,7290,12855,5117,5467,6848,19429,10956,17391,4444,5651,9715,6371,8427,3262,14182,13326,3548,15006,15213,3475,5723,10544,8403,12656,3121,6387,3679,9276,8351,10890,7441,8327,3876,2096,2286,5040,7005,11568,7315,12493
SremskiKarlovci,5292,13240,10839,6770,6851,7135,9633,14941,11613,4468,7599,4690,3975,3834,2657,8888,13270,1787,3832,13570,4660,13648,11184,13102,19317,13601,15711,10198,16797,11849,3955,9074,15236,12242,13310,9329,7106,5324,1304,1479,11120,8294,5593,6325,15494,8876,14750,6060,9390,7153,5288,6691,8817,9263,8237,10897,3769,15007,9502,5235,7522,6044,14584,13371,5544,10294,7652,8627,12305,3364,9093,7330,12341,16133,12415,5974,5835,15417,12727,5804,13861,3505,4317,6031,14936,1172,3889,4533,4539,7727,3705,12063,11915,4786,9131,8610,2804,14264,7260,6828,8909,16734,15211,15517,13555,3855,7853,13575,9924,10293,2145,3553,5265,9748,5291,15598,6340,7282,12414,6268,5465,2814,3320,,2086,3812,5079,14984,3129,7589,13154,2315,3139,7146,19727,11213,17648,4701,6378,10014,6669,8725,5195,14480,13625,3846,15304,15511,3773,2922,10801,8408,12954,2995,3586,3977,9575,8649,11147,7697,5525,4132,4260,4653,2238,7303,11866,4514,12792
